Name,Host_Id,Host_Identity_Verified,Host_Name,Neighbourhood_Group,Neighbourhood,Latitude,Longitude,Country,Country_Code,Instant_Bookable,Cancellation_Policy,Room_Type,Construction_Year,Price,Service_Fee,Minimum_Nights,Number_Of_Reviews
Clean & quiet apt home by the park,80014485718,UNCONFIRMED,Madaline,Brooklyn,Kensington,40.64749,-73.97237,United States,US,False,strict,Private room,2020,966,193.0,10.0,9.0
Skylit Midtown Castle,52335172823,VERIFIED,Jenna,Manhattan,Midtown,40.75362,-73.98377,United States,US,False,moderate,Entire home/apt,2007,142,28.0,30.0,45.0
THE VILLAGE OF HARLEM....NEW YORK !,78829239556,UNCONFIRMED,Elise,Manhattan,Harlem,40.80902,-73.9419,United States,US,True,flexible,Private room,2005,620,124.0,3.0,0.0
Unknown,85098326012,UNCONFIRMED,Garry,Brooklyn,Clinton Hill,40.68514,-73.95976,United States,US,True,moderate,Entire home/apt,2005,368,74.0,30.0,270.0
Entire Apt: Spacious Studio/Loft by central park,92037596077,VERIFIED,Lyndon,Manhattan,East Harlem,40.79851,-73.94399,United States,US,False,moderate,Entire home/apt,2009,204,41.0,10.0,9.0
Large Cozy 1 BR Apartment In Midtown East,45498551794,VERIFIED,Michelle,Manhattan,Murray Hill,40.74767,-73.975,United States,US,True,flexible,Entire home/apt,2013,577,115.0,3.0,74.0
BlissArtsSpace!,61300605564,UNCONFIRMED,Alberta,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,United States,US,False,moderate,Private room,2015,71,14.0,45.0,49.0
BlissArtsSpace!,90821839709,UNCONFIRMED,Emma,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,United States,US,False,moderate,Private room,2009,1060,212.0,45.0,49.0
Large Furnished Room Near B'way,79384379533,VERIFIED,Evelyn,Manhattan,Hell's Kitchen,40.76489,-73.98493,United States,US,True,strict,Private room,2005,1018,204.0,2.0,430.0
Cozy Clean Guest Room - Family Apt,75527839483,UNCONFIRMED,Carl,Manhattan,Upper West Side,40.80178,-73.96723,United States,US,False,strict,Private room,2015,291,58.0,2.0,118.0
Cute & Cozy Lower East Side 1 bdrm,1280143094,VERIFIED,Miranda,Manhattan,Chinatown,40.71344,-73.99037,United States,US,False,flexible,Entire home/apt,2004,319,64.0,1.0,160.0
Beautiful 1br on Upper West Side,18824631834,VERIFIED,Alan,Manhattan,Upper West Side,40.80316,-73.96545,United States,US,True,flexible,Entire home/apt,2008,606,121.0,5.0,53.0
Central Manhattan/near Broadway,88136055909,VERIFIED,Unknown,Manhattan,Hell's Kitchen,40.76076,-73.98867,United States,US,False,strict,Private room,2008,714,143.0,2.0,188.0
"Lovely Room 1, Garden, Best Area, Legal rental",26802410424,VERIFIED,Darcy,Brooklyn,South Slope,40.66829,-73.98779,United States,US,True,moderate,Private room,2010,580,116.0,4.0,167.0
Wonderful Guest Bedroom in Manhattan for SINGLES,88920244552,VERIFIED,Leonardo,Manhattan,Upper West Side,40.79826,-73.96113,United States,US,False,flexible,Private room,2019,149,30.0,2.0,113.0
West Village Nest - Superhost,46551725984,VERIFIED,Daniel,Manhattan,West Village,40.7353,-74.00525,United States,US,True,flexible,Entire home/apt,2018,578,125.0,90.0,27.0
Only 2 stops to Manhattan studio,62566345680,UNCONFIRMED,Heather,Brooklyn,Williamsburg,40.70837,-73.95352,United States,unknown,False,moderate,Entire home/apt,2009,778,125.0,2.0,148.0
Perfect for Your Parents + Garden,80380130347,VERIFIED,Ryan,Brooklyn,Fort Greene,40.69169,-73.97185,United States,unknown,False,flexible,Entire home/apt,2006,656,125.0,2.0,198.0
Chelsea Perfect,73862528370,VERIFIED,Alberta,Manhattan,Chelsea,40.74192,-73.99501,United States,unknown,False,moderate,Private room,2008,460,125.0,1.0,260.0
Hip Historic Brownstone Apartment with Backyard,72145018858,UNCONFIRMED,Martin,Brooklyn,Crown Heights,40.67592,-73.94694,United States,unknown,False,moderate,Entire home/apt,2004,1095,125.0,3.0,53.0
Huge 2 BR Upper East  Cental Park,79805143117,VERIFIED,Audrey,Manhattan,East Harlem,40.79685,-73.94872,United States,unknown,False,moderate,Entire home/apt,2013,281,56.0,7.0,0.0
Sweet and Spacious Brooklyn Loft,86554611512,VERIFIED,Alissa,Brooklyn,Williamsburg,40.71842,-73.95718,United States,unknown,False,flexible,Entire home/apt,2016,477,95.0,3.0,9.0
CBG CtyBGd HelpsHaiti rm#1:1-4,53754237010,VERIFIED,Mary,Brooklyn,Park Slope,40.68069,-73.97706,United States,unknown,False,moderate,Private room,2013,133,27.0,2.0,130.0
CBG Helps Haiti Room#2.5,87668933180,UNCONFIRMED,William,Brooklyn,Park Slope,40.67989,-73.97798,United States,unknown,False,moderate,Private room,2017,1050,210.0,1.0,39.0
CBG Helps Haiti Rm #2,57827496420,UNCONFIRMED,Charlotte,Brooklyn,Park Slope,40.68001,-73.97865,United States,unknown,False,strict,Private room,2005,816,163.0,2.0,71.0
"MAISON DES SIRENES1,bohemian apartment",48387947293,UNCONFIRMED,Miranda,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,United States,unknown,False,strict,Entire home/apt,2006,1175,235.0,2.0,88.0
Sunny Bedroom Across Prospect Park,81686279636,UNCONFIRMED,Carlos,Brooklyn,Windsor Terrace,40.65599,-73.97519,United States,unknown,False,moderate,Private room,2021,530,106.0,1.0,19.0
Magnifique Suite au N de Manhattan - vue Cloitres,38811420224,VERIFIED,Adrianna,Manhattan,Inwood,40.86754,-73.92639,United States,unknown,False,strict,Private room,2017,274,55.0,4.0,0.0
Midtown Pied-a-terre,19382804591,UNCONFIRMED,Andrew,Manhattan,Hell's Kitchen,40.76715,-73.98533,United States,unknown,False,moderate,Entire home/apt,2016,209,42.0,10.0,58.0
